Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,2019,Robert Downey Jr.,"Apr 23, 2019",400000000,858373000,2797732053.0
Avengers: Endgame,2019,Chris Evans,"Apr 23, 2019",400000000,858373000,2797732053.0
Avengers: Endgame,2019,Mark Ruffalo,"Apr 23, 2019",400000000,858373000,2797732053.0
Avengers: Endgame,2019,Chris Hemsworth,"Apr 23, 2019",400000000,858373000,2797732053.0
Spider-Man: No Way Home,2021,Tom Holland,"Dec 14, 2021",200000000,814108407,1910041582.0
Spider-Man: No Way Home,2021,Zendaya,"Dec 14, 2021",200000000,814108407,1910041582.0
Spider-Man: No Way Home,2021,Benedict Cumberbatch,"Dec 14, 2021",200000000,814108407,1910041582.0
Spider-Man: No Way Home,2021,Jacob Batalon,"Dec 14, 2021",200000000,814108407,1910041582.0
Avatar,2009,Sam Worthington,"Dec 17, 2009",237000000,785221649,2910284102.0
Avatar,2009,Zoe Saldana,"Dec 17, 2009",237000000,785221649,2910284102.0
Avatar,2009,Sigourney Weaver,"Dec 17, 2009",237000000,785221649,2910284102.0
Avatar,2009,Michelle Rodriguez,"Dec 17, 2009",237000000,785221649,2910284102.0
Black Panther,2018,Chadwick Boseman,"Feb 13, 2018",200000000,700059566,1336494320.0
Black Panther,2018,Michael B. Jordan,"Feb 13, 2018",200000000,700059566,1336494320.0
Black Panther,2018,Lupita Nyong'o,"Feb 13, 2018",200000000,700059566,1336494320.0
Black Panther,2018,Danai Gurira,"Feb 13, 2018",200000000,700059566,1336494320.0
Avengers: Infinity War,2018,Robert Downey Jr.,"Apr 25, 2018",300000000,678815482,2048359754.0
Avengers: Infinity War,2018,Chris Hemsworth,"Apr 25, 2018",300000000,678815482,2048359754.0
Avengers: Infinity War,2018,Mark Ruffalo,"Apr 25, 2018",300000000,678815482,2048359754.0
Avengers: Infinity War,2018,Chris Evans,"Apr 25, 2018",300000000,678815482,2048359754.0
Titanic,1997,Leonardo DiCaprio,"Dec 18, 1997",200000000,659363944,2207986545.0
Titanic,1997,Kate Winslet,"Dec 18, 1997",200000000,659363944,2207986545.0
Titanic,1997,Billy Zane,"Dec 18, 1997",200000000,659363944,2207986545.0
Titanic,1997,Kathy Bates,"Dec 18, 1997",200000000,659363944,2207986545.0
Jurassic World,2015,Chris Pratt,"Jun 9, 2015",215000000,652306625,1669963641.0
Jurassic World,2015,Bryce Dallas Howard,"Jun 9, 2015",215000000,652306625,1669963641.0
Jurassic World,2015,Ty Simpkins,"Jun 9, 2015",215000000,652306625,1669963641.0
Jurassic World,2015,Judy Greer,"Jun 9, 2015",215000000,652306625,1669963641.0
The Avengers,2012,Robert Downey Jr.,"Apr 25, 2012",225000000,623357910,1515100211.0
The Avengers,2012,Chris Evans,"Apr 25, 2012",225000000,623357910,1515100211.0
The Avengers,2012,Scarlett Johansson,"Apr 25, 2012",225000000,623357910,1515100211.0
The Avengers,2012,Jeremy Renner,"Apr 25, 2012",225000000,623357910,1515100211.0
Incredibles 2,2018,Craig T. Nelson,"Jun 15, 2018",200000000,608581744,1242805359.0
Incredibles 2,2018,Holly Hunter,"Jun 15, 2018",200000000,608581744,1242805359.0
Incredibles 2,2018,Sarah Vowell,"Jun 15, 2018",200000000,608581744,1242805359.0
Incredibles 2,2018,Huck Milner,"Jun 15, 2018",200000000,608581744,1242805359.0
The Lion King,2019,Donald Glover,"Jul 11, 2019",260000000,543638043,1647733638.0
The Lion King,2019,Beyoncé,"Jul 11, 2019",260000000,543638043,1647733638.0
The Lion King,2019,Seth Rogen,"Jul 11, 2019",260000000,543638043,1647733638.0
The Lion King,2019,Chiwetel Ejiofor,"Jul 11, 2019",260000000,543638043,1647733638.0
The Dark Knight,2008,Christian Bale,"Jul 11, 2008",185000000,533720947,998615789.0
The Dark Knight,2008,Heath Ledger,"Jul 11, 2008",185000000,533720947,998615789.0
The Dark Knight,2008,Aaron Eckhart,"Jul 11, 2008",185000000,533720947,998615789.0
The Dark Knight,2008,Michael Caine,"Jul 11, 2008",185000000,533720947,998615789.0
Beauty and the Beast,2017,Emma Watson,"Mar 16, 2017",160000000,504014165,1270042058.0
Beauty and the Beast,2017,Dan Stevens,"Mar 16, 2017",160000000,504014165,1270042058.0
Beauty and the Beast,2017,Luke Evans,"Mar 16, 2017",160000000,504014165,1270042058.0
Beauty and the Beast,2017,Josh Gad,"Mar 16, 2017",160000000,504014165,1270042058.0
Finding Dory,2016,Ellen DeGeneres,"Jun 16, 2016",200000000,486295561,1025006125.0
Finding Dory,2016,Albert Brooks,"Jun 16, 2016",200000000,486295561,1025006125.0
Finding Dory,2016,Ed O'Neill,"Jun 16, 2016",200000000,486295561,1025006125.0
Finding Dory,2016,Kaitlin Olson,"Jun 16, 2016",200000000,486295561,1025006125.0
Frozen II,2019,Kristen Bell,"Nov 20, 2019",150000000,477373578,1444735491.0
Frozen II,2019,Idina Menzel,"Nov 20, 2019",150000000,477373578,1444735491.0
Frozen II,2019,Josh Gad,"Nov 20, 2019",150000000,477373578,1444735491.0
Frozen II,2019,Jonathan Groff,"Nov 20, 2019",150000000,477373578,1444735491.0
Avengers: Age of Ultron,2015,Robert Downey Jr.,"Apr 22, 2015",365000000,459005868,1395316979.0
Avengers: Age of Ultron,2015,Chris Evans,"Apr 22, 2015",365000000,459005868,1395316979.0
Avengers: Age of Ultron,2015,Mark Ruffalo,"Apr 22, 2015",365000000,459005868,1395316979.0
Avengers: Age of Ultron,2015,Chris Hemsworth,"Apr 22, 2015",365000000,459005868,1395316979.0
The Dark Knight Rises,2012,Christian Bale,"Jul 19, 2012",230000000,448139099,1082228107.0
The Dark Knight Rises,2012,Tom Hardy,"Jul 19, 2012",230000000,448139099,1082228107.0
The Dark Knight Rises,2012,Anne Hathaway,"Jul 19, 2012",230000000,448139099,1082228107.0
The Dark Knight Rises,2012,Gary Oldman,"Jul 19, 2012",230000000,448139099,1082228107.0
Shrek 2,2004,Mike Myers,"May 19, 2004",70000000,441226247,935253978.0
Shrek 2,2004,Eddie Murphy,"May 19, 2004",70000000,441226247,935253978.0
Shrek 2,2004,Cameron Diaz,"May 19, 2004",70000000,441226247,935253978.0
Shrek 2,2004,Julie Andrews,"May 19, 2004",70000000,441226247,935253978.0
E.T. the Extra-Terrestrial,1982,Henry Thomas,"Jun 11, 1982",10500000,439251124,797103542.0
E.T. the Extra-Terrestrial,1982,Drew Barrymore,"Jun 11, 1982",10500000,439251124,797103542.0
E.T. the Extra-Terrestrial,1982,Peter Coyote,"Jun 11, 1982",10500000,439251124,797103542.0
E.T. the Extra-Terrestrial,1982,Dee Wallace,"Jun 11, 1982",10500000,439251124,797103542.0
Toy Story 4,2019,Tom Hanks,"Jun 20, 2019",200000000,434038008,1073064540.0
Toy Story 4,2019,Tim Allen,"Jun 20, 2019",200000000,434038008,1073064540.0
Toy Story 4,2019,Annie Potts,"Jun 20, 2019",200000000,434038008,1073064540.0
Toy Story 4,2019,Tony Hale,"Jun 20, 2019",200000000,434038008,1073064540.0
Captain Marvel,2019,Brie Larson,"Mar 6, 2019",175000000,426829839,1129576094.0
Captain Marvel,2019,Samuel L. Jackson,"Mar 6, 2019",175000000,426829839,1129576094.0
Captain Marvel,2019,Ben Mendelsohn,"Mar 6, 2019",175000000,426829839,1129576094.0
Captain Marvel,2019,Jude Law,"Mar 6, 2019",175000000,426829839,1129576094.0
The Hunger Games: Catching Fire,2013,Jennifer Lawrence,"Nov 15, 2013",130000000,424668047,864868047.0
The Hunger Games: Catching Fire,2013,Josh Hutcherson,"Nov 15, 2013",130000000,424668047,864868047.0
The Hunger Games: Catching Fire,2013,Liam Hemsworth,"Nov 15, 2013",130000000,424668047,864868047.0
The Hunger Games: Catching Fire,2013,Philip Seymour Hoffman,"Nov 15, 2013",130000000,424668047,864868047.0
The Lion King,1994,Matthew Broderick,"Jun 15, 1994",79300000,421785283,986193783.0
The Lion King,1994,Jeremy Irons,"Jun 15, 1994",79300000,421785283,986193783.0
The Lion King,1994,James Earl Jones,"Jun 15, 1994",79300000,421785283,986193783.0
The Lion King,1994,Whoopi Goldberg,"Jun 15, 1994",79300000,421785283,986193783.0
Jurassic World: Fallen Kingdom,2018,Chris Pratt,"Jun 6, 2018",170000000,417719760,1308323302.0
Jurassic World: Fallen Kingdom,2018,Bryce Dallas Howard,"Jun 6, 2018",170000000,417719760,1308323302.0
Jurassic World: Fallen Kingdom,2018,Rafe Spall,"Jun 6, 2018",170000000,417719760,1308323302.0
Jurassic World: Fallen Kingdom,2018,Justice Smith,"Jun 6, 2018",170000000,417719760,1308323302.0
Toy Story 3,2010,Tom Hanks,"Jun 18, 2010",200000000,415004880,1068879522.0
Toy Story 3,2010,Tim Allen,"Jun 18, 2010",200000000,415004880,1068879522.0
Toy Story 3,2010,Joan Cusack,"Jun 18, 2010",200000000,415004880,1068879522.0
Toy Story 3,2010,Ned Beatty,"Jun 18, 2010",200000000,415004880,1068879522.0
Wonder Woman,2017,Gal Gadot,"May 29, 2017",150000000,412563408,817691766.0
Wonder Woman,2017,Chris Pine,"May 29, 2017",150000000,412563408,817691766.0
Wonder Woman,2017,Robin Wright,"May 29, 2017",150000000,412563408,817691766.0
Wonder Woman,2017,Lucy Davis,"May 29, 2017",150000000,412563408,817691766.0
Captain America: Civil War,2016,Chris Evans,"Apr 22, 2016",250000000,408084349,1151899586.0
