Movie,Year,IMDb,Rating,Runtime,Genre
Star Wars: Episode VII - The Force Awakens,2015,7.8,PG-13,138,"Action, Adventure, Sci-Fi"
Avengers: Endgame,2019,8.4,PG-13,181,"Action, Adventure, Drama"
Spider-Man: No Way Home,2021,8.3,PG-13,148,"Action, Adventure, Fantasy"
Avatar,2009,7.8,PG-13,162,"Action, Adventure, Fantasy"
Black Panther,2018,7.3,PG-13,134,"Action, Adventure, Sci-Fi"
Avengers: Infinity War,2018,8.4,PG-13,149,"Action, Adventure, Sci-Fi"
Titanic,1997,7.9,PG-13,194,"Drama, Romance"
Jurassic World,2015,6.9,PG-13,124,"Action, Adventure, Sci-Fi"
The Avengers,2012,8.0,PG-13,143,"Action, Adventure, Sci-Fi"
Star Wars: Episode VIII - The Last Jedi,2017,6.9,PG-13,152,"Action, Adventure, Fantasy"
Incredibles 2,2018,7.6,PG,118,"Animation, Action, Adventure"
The Lion King,2019,6.8,PG,118,"Animation, Adventure, Drama"
The Dark Knight,2008,9.0,PG-13,152,"Action, Crime, Drama"
Rogue One,2016,7.8,PG-13,133,"Action, Adventure, Sci-Fi"
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,PG-13,141,"Action, Adventure, Fantasy"
Beauty and the Beast,2017,7.1,PG,129,"Adventure, Family, Fantasy"
Finding Dory,2016,7.3,PG,97,"Animation, Adventure, Comedy"
Frozen II,2019,6.8,PG,103,"Animation, Adventure, Comedy"
Star Wars: Episode I - The Phantom Menace,1999,6.5,PG,136,"Action, Adventure, Fantasy"
Avengers: Age of Ultron,2015,7.3,PG-13,141,"Action, Adventure, Sci-Fi"
The Dark Knight Rises,2012,8.4,PG-13,164,"Action, Drama"
Shrek 2,2004,7.3,PG,93,"Animation, Adventure, Comedy"
E.T. the Extra-Terrestrial,1982,7.9,PG,115,"Adventure, Family, Sci-Fi"
Toy Story 4,2019,7.7,G,100,"Animation, Adventure, Comedy"
Captain Marvel,2019,6.8,PG-13,123,"Action, Adventure, Sci-Fi"
The Hunger Games: Catching Fire,2013,7.5,PG-13,146,"Action, Adventure, Sci-Fi"
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,PG-13,151,"Action, Adventure, Fantasy"
The Lion King,1994,8.5,G,88,"Animation, Adventure, Drama"
Jurassic World: Fallen Kingdom,2018,6.1,PG-13,128,"Action, Adventure, Sci-Fi"
Wonder Woman,2017,7.4,PG-13,141,"Action, Adventure, Fantasy"
Iron Man Three,2013,7.1,PG-13,130,"Action, Adventure, Sci-Fi"
Captain America: Civil War,2016,7.8,PG-13,147,"Action, Adventure, Sci-Fi"
The Hunger Games,2012,7.2,PG-13,142,"Action, Adventure, Sci-Fi"
Jumanji: Welcome to the Jungle,2017,6.9,PG-13,119,"Action, Adventure, Comedy"
Spider-Man,2002,7.4,PG-13,121,"Action, Adventure, Sci-Fi"
Jurassic Park,1993,8.2,PG-13,127,"Action, Adventure, Sci-Fi"
Transformers: Revenge of the Fallen,2009,5.9,PG-13,149,"Action, Adventure, Sci-Fi"
Frozen,2013,7.4,PG,102,"Animation, Adventure, Comedy"
Spider-Man: Far from Home,2019,7.4,PG-13,129,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 2,2017,7.6,PG-13,136,"Action, Adventure, Comedy"
Harry Potter and the Deathly Hallows - Part 2,2011,8.1,PG-13,130,"Adventure, Family, Fantasy"
Star Wars: Episode III - Revenge of the Sith,2005,7.6,PG-13,140,"Action, Adventure, Fantasy"
The Lord of the Rings: The Return of the King,2003,9.0,PG-13,201,"Action, Adventure, Drama"
Spider-Man 2,2004,7.4,PG-13,127,"Action, Adventure, Sci-Fi"
The Passion of the Christ,2004,7.2,R,127,Drama
The Secret Life of Pets,2016,6.5,PG,87,"Animation, Adventure, Comedy"
Despicable Me 2,2013,7.3,PG,98,"Animation, Adventure, Comedy"
The Jungle Book,2016,7.4,PG,106,"Adventure, Drama, Family"
Deadpool,2016,8.0,R,108,"Action, Adventure, Comedy"
Inside Out,2015,8.2,PG,95,"Animation, Adventure, Comedy"
Aladdin,2019,6.9,PG,128,"Adventure, Comedy, Family"
Fast & Furious 7,2015,7.1,PG-13,137,"Action, Crime, Thriller"
Transformers: Dark of the Moon,2011,6.2,PG-13,154,"Action, Adventure, Sci-Fi"
American Sniper,2014,7.3,R,133,"Action, Biography, Drama"
The Lord of the Rings: The Two Towers,2002,8.8,PG-13,179,"Action, Adventure, Drama"
Zootopia,2016,8.0,PG,108,"Animation, Adventure, Comedy"
The Hunger Games: Mockingjay - Part 1,2014,6.6,PG-13,123,"Action, Adventure, Sci-Fi"
Spider-Man 3,2007,6.3,PG-13,139,"Action, Adventure, Sci-Fi"
Minions,2015,6.4,PG,91,"Animation, Adventure, Comedy"
Joker,2019,8.4,R,122,"Crime, Drama, Thriller"
Aquaman,2018,6.8,PG-13,143,"Action, Adventure, Fantasy"
Spider-Man: Homecoming,2017,7.4,PG-13,133,"Action, Adventure, Sci-Fi"
Alice in Wonderland,2010,6.4,PG,108,"Adventure, Family, Fantasy"
Guardians of the Galaxy,2014,8.0,PG-13,121,"Action, Adventure, Comedy"
Batman v Superman: Dawn of Justice,2016,6.4,PG-13,152,"Action, Adventure, Sci-Fi"
Forrest Gump,1994,8.8,PG-13,142,"Drama, Romance"
It,2017,7.3,R,135,Horror
Suicide Squad,2016,5.9,PG-13,123,"Action, Adventure, Fantasy"
Deadpool 2,2018,7.7,R,119,"Action, Adventure, Comedy"
Star Wars,1977,8.6,PG,121,"Action, Adventure, Fantasy"
Shrek the Third,2007,6.1,PG,93,"Animation, Adventure, Comedy"
Transformers,2007,7.0,PG-13,144,"Action, Adventure, Sci-Fi"
Iron Man,2008,7.9,PG-13,126,"Action, Adventure, Sci-Fi"
Harry Potter and the Sorcerer's Stone,2001,7.6,PG,152,"Adventure, Family, Fantasy"
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,PG-13,122,"Action, Adventure"
Jumanji: The Next Level,2019,6.7,PG-13,123,"Action, Adventure, Comedy"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,178,"Action, Adventure, Drama"
Thor: Ragnarok,2017,7.9,PG-13,130,"Action, Adventure, Comedy"
Iron Man 2,2010,6.9,PG-13,124,"Action, Adventure, Sci-Fi"
Star Wars: Episode II - Attack of the Clones,2002,6.6,PG,142,"Action, Adventure, Fantasy"
Pirates of the Caribbean: At World's End,2007,7.1,PG-13,169,"Action, Adventure, Fantasy"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG,131,"Action, Adventure, Fantasy"
Independence Day,1996,7.0,PG-13,145,"Action, Adventure, Sci-Fi"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,PG-13,143,"Action, Adventure, Fantasy"
Skyfall,2012,7.8,PG-13,143,"Action, Adventure, Thriller"
The Hobbit: An Unexpected Journey,2012,7.8,PG-13,169,"Adventure, Fantasy"
Harry Potter and the Half-Blood Prince,2009,7.6,PG,153,"Action, Adventure, Family"
The Twilight Saga: Eclipse,2010,5.0,PG-13,124,"Action, Adventure, Drama"
The Twilight Saga: New Moon,2009,4.7,PG-13,130,"Adventure, Drama, Fantasy"
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,PG-13,146,"Adventure, Family, Fantasy"
The Sixth Sense,1999,8.2,PG-13,107,"Drama, Mystery, Thriller"
Up,2009,8.3,PG,96,"Animation, Adventure, Comedy"
Inception,2010,8.8,PG-13,148,"Action, Adventure, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,PG-13,115,"Adventure, Drama, Fantasy"
Harry Potter and the Order of the Phoenix,2007,7.5,PG-13,138,"Action, Adventure, Family"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,PG,143,"Adventure, Family, Fantasy"
Man of Steel,2013,7.1,PG-13,143,"Action, Adventure, Sci-Fi"
The Empire Strikes Back,1980,8.7,PG,124,"Action, Adventure, Fantasy"
Harry Potter and the Goblet of Fire,2005,7.7,PG-13,157,"Adventure, Family, Fantasy"
"Monsters, Inc.",2001,8.1,G,92,"Animation, Adventure, Comedy"
The Hunger Games: Mockingjay - Part 2,2015,6.5,PG-13,137,"Action, Adventure, Sci-Fi"
The Matrix Reloaded,2003,7.2,R,138,"Action, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,PG-13,117,"Adventure, Drama, Fantasy"
Meet the Fockers,2004,6.3,PG-13,115,"Comedy, Romance"
The Hangover,2009,7.7,R,100,Comedy
Gravity,2013,7.7,PG-13,91,"Drama, Sci-Fi, Thriller"
The Grinch,2018,6.3,PG,85,"Animation, Comedy, Family"
Sing,2016,7.1,PG,108,"Animation, Comedy, Family"
Monsters University,2013,7.2,G,104,"Animation, Adventure, Comedy"
Shrek,2001,7.9,PG,90,"Animation, Adventure, Comedy"
Despicable Me 3,2017,6.2,PG,89,"Animation, Adventure, Comedy"
The Amazing Spider-Man,2012,6.9,PG-13,136,"Action, Adventure, Sci-Fi"
Harry Potter and the Chamber of Secrets,2002,7.4,PG,161,"Adventure, Family, Fantasy"
How the Grinch Stole Christmas,2000,6.2,PG,104,"Comedy, Family, Fantasy"
Captain America: The Winter Soldier,2014,7.8,PG-13,136,"Action, Adventure, Sci-Fi"
The Hobbit: The Desolation of Smaug,2013,7.8,PG-13,161,"Adventure, Fantasy"
