Movie,Year,IMDb,Rating,Runtime,Genre,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,2019,8.4,PG-13,181,"Action, Adventure, Drama","Apr 23, 2019",400000000,858373000,2797732053.0
Spider-Man: No Way Home,2021,8.3,PG-13,148,"Action, Adventure, Fantasy","Dec 14, 2021",200000000,814108407,1910041582.0
Avatar,2009,7.8,PG-13,162,"Action, Adventure, Fantasy","Dec 17, 2009",237000000,785221649,2910284102.0
Black Panther,2018,7.3,PG-13,134,"Action, Adventure, Sci-Fi","Feb 13, 2018",200000000,700059566,1336494320.0
Avengers: Infinity War,2018,8.4,PG-13,149,"Action, Adventure, Sci-Fi","Apr 25, 2018",300000000,678815482,2048359754.0
Titanic,1997,7.9,PG-13,194,"Drama, Romance","Dec 18, 1997",200000000,659363944,2207986545.0
Jurassic World,2015,6.9,PG-13,124,"Action, Adventure, Sci-Fi","Jun 9, 2015",215000000,652306625,1669963641.0
The Avengers,2012,8.0,PG-13,143,"Action, Adventure, Sci-Fi","Apr 25, 2012",225000000,623357910,1515100211.0
Incredibles 2,2018,7.6,PG,118,"Animation, Action, Adventure","Jun 15, 2018",200000000,608581744,1242805359.0
The Lion King,2019,6.8,PG,118,"Animation, Adventure, Drama","Jul 11, 2019",260000000,543638043,1647733638.0
The Dark Knight,2008,9.0,PG-13,152,"Action, Crime, Drama","Jul 11, 2008",185000000,533720947,998615789.0
Beauty and the Beast,2017,7.1,PG,129,"Adventure, Family, Fantasy","Mar 16, 2017",160000000,504014165,1270042058.0
Finding Dory,2016,7.3,PG,97,"Animation, Adventure, Comedy","Jun 16, 2016",200000000,486295561,1025006125.0
Frozen II,2019,6.8,PG,103,"Animation, Adventure, Comedy","Nov 20, 2019",150000000,477373578,1444735491.0
Avengers: Age of Ultron,2015,7.3,PG-13,141,"Action, Adventure, Sci-Fi","Apr 22, 2015",365000000,459005868,1395316979.0
The Dark Knight Rises,2012,8.4,PG-13,164,"Action, Drama","Jul 19, 2012",230000000,448139099,1082228107.0
Shrek 2,2004,7.3,PG,93,"Animation, Adventure, Comedy","May 19, 2004",70000000,441226247,935253978.0
E.T. the Extra-Terrestrial,1982,7.9,PG,115,"Adventure, Family, Sci-Fi","Jun 11, 1982",10500000,439251124,797103542.0
Toy Story 4,2019,7.7,G,100,"Animation, Adventure, Comedy","Jun 20, 2019",200000000,434038008,1073064540.0
Captain Marvel,2019,6.8,PG-13,123,"Action, Adventure, Sci-Fi","Mar 6, 2019",175000000,426829839,1129576094.0
The Hunger Games: Catching Fire,2013,7.5,PG-13,146,"Action, Adventure, Sci-Fi","Nov 15, 2013",130000000,424668047,864868047.0
The Lion King,1994,8.5,G,88,"Animation, Adventure, Drama","Jun 15, 1994",79300000,421785283,986193783.0
Jurassic World: Fallen Kingdom,2018,6.1,PG-13,128,"Action, Adventure, Sci-Fi","Jun 6, 2018",170000000,417719760,1308323302.0
Wonder Woman,2017,7.4,PG-13,141,"Action, Adventure, Fantasy","May 29, 2017",150000000,412563408,817691766.0
Captain America: Civil War,2016,7.8,PG-13,147,"Action, Adventure, Sci-Fi","Apr 22, 2016",250000000,408084349,1151899586.0
The Hunger Games,2012,7.2,PG-13,142,"Action, Adventure, Sci-Fi","Mar 8, 2012",80000000,408010692,677923379.0
Jumanji: Welcome to the Jungle,2017,6.9,PG-13,119,"Action, Adventure, Comedy","Dec 20, 2017",90000000,404508916,961632807.0
Spider-Man,2002,7.4,PG-13,121,"Action, Adventure, Sci-Fi","May 3, 2002",139000000,403706375,821706375.0
Jurassic Park,1993,8.2,PG-13,127,"Action, Adventure, Sci-Fi","Jun 11, 1993",63000000,402523348,1045573035.0
Transformers: Revenge of the Fallen,2009,5.9,PG-13,149,"Action, Adventure, Sci-Fi","Jun 24, 2009",210000000,402111870,836519699.0
Frozen,2013,7.4,PG,102,"Animation, Adventure, Comedy","Nov 22, 2013",150000000,400953009,1261629241.0
The Lord of the Rings: The Return of the King,2003,9.0,PG-13,201,"Action, Adventure, Drama","Dec 17, 2003",94000000,377845905,1120210896.0
Spider-Man 2,2004,7.4,PG-13,127,"Action, Adventure, Sci-Fi","Jun 30, 2004",200000000,373524485,794697557.0
The Passion of the Christ,2004,7.2,R,127,Drama,"Feb 19, 2004",25000000,370782930,622313635.0
The Secret Life of Pets,2016,6.5,PG,87,"Animation, Adventure, Comedy","May 8, 2016",75000000,368384330,885302500.0
Despicable Me 2,2013,7.3,PG,98,"Animation, Adventure, Comedy","Jun 26, 2013",76000000,368065385,975216835.0
The Jungle Book,2016,7.4,PG,106,"Adventure, Drama, Family","Apr 7, 2016",175000000,364001123,953535821.0
Deadpool,2016,8.0,R,108,"Action, Adventure, Comedy","Feb 9, 2016",58000000,363070709,781947691.0
Inside Out,2015,8.2,PG,95,"Animation, Adventure, Comedy","Jun 12, 2015",175000000,356461711,853037219.0
Aladdin,2019,6.9,PG,128,"Adventure, Comedy, Family","May 22, 2019",182000000,355559216,1046587513.0
Transformers: Dark of the Moon,2011,6.2,PG-13,154,"Action, Adventure, Sci-Fi","Jun 29, 2011",195000000,352390543,1123794079.0
American Sniper,2014,7.3,R,133,"Action, Biography, Drama","Dec 25, 2014",58000000,350126372,547326372.0
The Lord of the Rings: The Two Towers,2002,8.8,PG-13,179,"Action, Adventure, Drama","Dec 18, 2002",94000000,342548984,919148764.0
Zootopia,2016,8.0,PG,108,"Animation, Adventure, Comedy","Feb 10, 2016",150000000,341268248,1004629935.0
The Hunger Games: Mockingjay - Part 1,2014,6.6,PG-13,123,"Action, Adventure, Sci-Fi","Nov 19, 2014",125000000,337135885,766575131.0
Spider-Man 3,2007,6.3,PG-13,139,"Action, Adventure, Sci-Fi","May 4, 2007",258000000,336530303,894860230.0
Minions,2015,6.4,PG,91,"Animation, Adventure, Comedy","Jun 17, 2015",74000000,336045770,1157271759.0
Joker,2019,8.4,R,122,"Crime, Drama, Thriller","Oct 2, 2019",55000000,335451311,1069121583.0
Aquaman,2018,6.8,PG-13,143,"Action, Adventure, Fantasy","Dec 6, 2018",160000000,335061807,1143758700.0
Spider-Man: Homecoming,2017,7.4,PG-13,133,"Action, Adventure, Sci-Fi","Jul 5, 2017",175000000,334201140,878271291.0
